term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
firefighters,firefight,4,,,,,,1000,0.004,-0.756110302,0.652447229,,,
filmed,film,4,,,,,,1000,0.004,-0.733999422,0.100409664,,,
fest,fest,4,,,,,,1000,0.004,-0.085396882,0.264125746,,,
facility,facil,4,,,,,,1000,0.004,-0.750190428,-0.34507359,,,
explorer,explor,4,,,,,,1000,0.004,-0.117661208,0.059517719,,,
european,european,4,,,,,,1000,0.004,1.665599961,-0.587902016,,,
dominic,domin,4,,,,,,1000,0.004,0.524730614,0.082243202,,,
documentary,documentari,4,,,,,,1000,0.004,-0.738888526,0.136001978,,,
dismissed,dismiss,4,,,,,,1000,0.004,-0.81733692,0.318553386,,,
devils,devil,4,,,,,,1000,0.004,0.251629356,0.406210359,,,
detained,detain,4,,,,,,1000,0.004,-0.734736521,0.525662679,,,
debt,debt,4,,,,,,1000,0.004,-0.672622424,-0.169351883,,,
dallas,dalla,4,,,,,,1000,0.004,2.158141438,-0.240308875,,,
convicted,convict,4,,,,,,1000,0.004,-0.78479353,0.840172377,,,
consumers,consum,4,,,,,,1000,0.004,-0.69672082,-0.759729022,,,
channel,channel,4,,,,,,1000,0.004,-0.365698777,-0.570341322,,,
ceremony,ceremoni,4,,,,,,1000,0.004,-0.7025486,0.293620747,,,
cebu,cebu,4,,,,,,1000,0.004,0.041633917,-0.088769113,,,
carrie,carri,4,,,,,,1000,0.004,1.31098584,0.283099363,,,
cape,cape,4,,,,,,1000,0.004,0.158131602,0.606587662,,,
calif,calif,4,,,,,,1000,0.004,0.328499955,0.328345785,,,
cagr,cagr,4,,,,,,1000,0.004,,,,,
bristol,bristol,4,,,,,,1000,0.004,1.229622283,0.05893384,,,
bolivia,bolivia,4,,,,,,1000,0.004,,,,,
berths,berth,4,,,,,,1000,0.004,-0.81482265,0.477415835,,,
baton,baton,4,,,,,,1000,0.004,-0.794835047,0.677601351,,,
assets,asset,4,,,,,,1000,0.004,-0.767750518,-0.458970213,,,
arrests,arrest,4,,,,,,1000,0.004,-0.745871915,0.475697906,,,
